name,enrollment,rank,tuitionFee,link,image_urls,images,location
Williams College,2077,1,"$48,310 (2014-15)",/best-colleges/williams-college-2229,http://colleges.usnews.rankingsandreviews.com/img/college-photo_13333._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_13333._130x0.jpg', 'path': 'full/7bc25e5e19b412b9b83abab97516001e04463e03.jpg', 'checksum': 'ea4b2b2cb9f26ac1034b6cb5a7d08866'}]","Williamstown, MA"
Amherst College,1785,2,"$48,526 (2014-15)",/best-colleges/amherst-college-2115,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16559._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16559._130x0.jpg', 'path': 'full/bf00661921210c695ffc4641187f046c47747ffd.jpg', 'checksum': '1131e8497ad34a157a4ac9a412bfc80e'}]","Amherst, MA"
Swarthmore College,1534,3,"$46,060 (2014-15)",/best-colleges/swarthmore-college-3370,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4807._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4807._130x0.JPG', 'path': 'full/252700a42da403eb8de15af7021b34ad0e7568a8.jpg', 'checksum': '60cde9d5be7f3a7938324c41b38913f3'}]","Swarthmore, PA"
Wellesley College,2474,4,"$45,078 (2014-15)",/best-colleges/wellesley-college-2224,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15149._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15149._130x0.jpg', 'path': 'full/2271958283c2448d12e9e2457084c716ee45c14b.jpg', 'checksum': '36a5762de8990a1b25df4aba32a92559'}]","Wellesley, MA"
Bowdoin College,1795,5,"$46,808 (2014-15)",/best-colleges/bowdoin-college-2038,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19126._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19126._130x0.jpg', 'path': 'full/b518f7385a59e86b3a831f8d9e6d756b6e1169ba.jpg', 'checksum': 'fe2fac164c8e27576236423ee79fec95'}]","Brunswick, ME"
Pomona College,1612,5,"$45,832 (2014-15)",/best-colleges/pomona-college-1173,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8857._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8857._130x0.jpg', 'path': 'full/1e8a3a4f4f4b1470a8ec13ca77bfaba5c284e991.jpg', 'checksum': 'be8a9147b6609f1ea5c3483f3525ee45'}]","Claremont, CA"
Middlebury College,2495,7,"$46,044 (2014-15)",/best-colleges/middlebury-college-3691,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4767._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4767._130x0.jpg', 'path': 'full/0882f56a91d65edb6016ab7df559c138155658f2.jpg', 'checksum': 'f961d1bf98b82821a9cccd1ba1b5a509'}]","Middlebury, VT"
Carleton College,2045,8,"$47,736 (2014-15)",/best-colleges/carleton-college-2340,http://colleges.usnews.rankingsandreviews.com/img/college-photo_134._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_134._130x0.jpg', 'path': 'full/1d5642e1065951732075e44f68b3085fac929efd.jpg', 'checksum': 'e9d59aa28815a0d46cc41a10dfebd725'}]","Northfield, MN"
Claremont McKenna College,1316,8,"$47,395 (2014-15)",/best-colleges/claremont-mckenna-college-1170,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12820._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12820._130x0.jpg', 'path': 'full/014cdfe1ef3c974fe10adb358e5c6b03a5121303.jpg', 'checksum': '6469ccbf1b4490b3e86307dae8bf89c7'}]","Claremont, CA"
Haverford College,1187,8,"$47,214 (2014-15)",/best-colleges/haverford-college-3274,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20560._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20560._130x0.jpg', 'path': 'full/7ee0fabb75b30e4ccef2b69554fda79504664259.jpg', 'checksum': '98204189df0a9b9d5f5d8a93785fb767'}]","Haverford, PA"
Davidson College,1788,11,"$45,377 (2014-15)",/best-colleges/davidson-college-2918,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1965._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1965._130x0.jpg', 'path': 'full/6180b2832f64d5c03844cfd7e82f30b29fb549a3.jpg', 'checksum': '7844041eb5a61fc3db2551c81533e816'}]","Davidson, NC"
Vassar College,2477,11,"$49,570 (2014-15)",/best-colleges/vassar-college-2895,http://colleges.usnews.rankingsandreviews.com/img/college-photo_10729._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_10729._130x0.jpg', 'path': 'full/b53cfcee1dd424429c49c5590da0d44ab746045d.jpg', 'checksum': 'b48a8631d9f6ff8ee2c3abd3160072d5'}]","Poughkeepsie, NY"
United States Naval Academy,4526,13,In-state: $0 (2014-15) Out-state: $0 (2014-15),/best-colleges/naval-academy-2101,http://colleges.usnews.rankingsandreviews.com/img/college-photo_10378._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_10378._130x0.jpg', 'path': 'full/d24d957ccb3bd097bffd17f478c8fd582d5f8068.jpg', 'checksum': '8a7fd7be3b3a9e8ef93e45e1c6b4968d'}]","Annapolis, MD"
Washington and Lee University,1855,14,"$45,617 (2014-15)",/best-colleges/washington-and-lee-3768,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4002._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4002._130x0.jpg', 'path': 'full/f5bb5f8f40cbf736d54a17c2810335cc955f9a9e.jpg', 'checksum': 'fbc6c704dfec3b41334b462c3910f008'}]","Lexington, VA"
Colby College,1820,15,"$47,350 (2014-15)",/best-colleges/colby-college-2039,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5786._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5786._130x0.jpg', 'path': 'full/d0ded13c04260e4ac04370872c3373e0ad79eda7.jpg', 'checksum': 'b9f702952223c855f8708fa045202416'}]","Waterville, ME"
Hamilton College,1926,15,"$47,820 (2014-15)",/best-colleges/hamilton-college-2728,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2246._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2246._130x0.jpg', 'path': 'full/deede5dfb6e8889efbe8a79ab9edbc7bf76130df.jpg', 'checksum': '7c7979313a8044cc9f42ffaaf328bda7'}]","Clinton, NY"
Harvey Mudd College,807,15,"$48,594 (2014-15)",/best-colleges/harvey-mudd-college-1171,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19453._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19453._130x0.jpg', 'path': 'full/24f050c4e11e9a7f90f540d6dc28d5c072c4d000.jpg', 'checksum': 'efd017a5dff6fc3accbe6447e9aa966d'}]","Claremont, CA"
