name,enrollment,rank,tuitionFee,link,image_urls,images,location
Princeton University,5323,1,"$41,820 (2014-15)",/best-colleges/princeton-university-2627,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6976._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6976._130x0.jpg', 'path': 'full/c8bbd144e943a52dc9ad00aa846f29c48ecd5814.jpg', 'checksum': 'c856d70ba229afc42203d3d09de345e4'}]","Princeton, NJ"
Harvard University,6722,2,"$43,938 (2014-15)",/best-colleges/harvard-university-2155,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8866._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8866._130x0.jpg', 'path': 'full/1d9dbcbb8c5b7a4b4ffe7418e911e39acbd14d5a.jpg', 'checksum': '1fa300dd5962a21ef9738675d5b94c67'}]","Cambridge, MA"
Yale University,5430,3,"$45,800 (2014-15)",/best-colleges/yale-university-1426,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8737._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8737._130x0.jpg', 'path': 'full/85766cd5588b7f05812d957cc642f4484cfada27.jpg', 'checksum': '4e9d9876d0165ebfb6760a2e3c7d30f1'}]","New Haven, CT"
Columbia University,6084,4,"$51,008 (2014-15)",/best-colleges/columbia-university-2707,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5297._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5297._130x0.JPG', 'path': 'full/19ece981f81937c95fac8ee9c396f9c2784793d3.jpg', 'checksum': '87f04ed10698f10ed56127355551368d'}]","New York, NY"
Stanford University,7061,4,"$44,757 (2014-15)",/best-colleges/stanford-1305,http://colleges.usnews.rankingsandreviews.com/img/college-photo_199._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_199._130x0.jpg', 'path': 'full/6f76c22c23f21a8de861b3fd0c666f3124d2015e.jpg', 'checksum': 'b868f56fd0d7ff0afa31a7c10ab6c4b8'}]","Stanford, CA"
University of Chicago,5659,4,"$48,253 (2014-15)",/best-colleges/university-of-chicago-1774,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23449._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23449._130x0.jpg', 'path': 'full/0d6a72326d8766b05f6d625ff7b9dd51db97e95a.jpg', 'checksum': '7264916fb58f302e4b4b7a29761083f2'}]","Chicago, IL"
Massachusetts Institute of Technology,4528,7,"$45,016 (2014-15)",/best-colleges/mit-2178,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6926._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6926._130x0.jpg', 'path': 'full/f99cd0c371bf6f6b8c9b9916f434d62e87ba2af6.jpg', 'checksum': '1325e67d07d40a506e0fa42334f303c3'}]","Cambridge, MA"
Duke University,6646,8,"$47,488 (2014-15)",/best-colleges/duke-university-2920,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19587._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19587._130x0.jpg', 'path': 'full/821fc9b898a050849e93635009d851c8f96154ec.jpg', 'checksum': '1bf7c7ae76f313ab9d97ea6f4292f83c'}]","Durham, NC"
University of Pennsylvania,9712,8,"$47,668 (2014-15)",/best-colleges/university-of-pennsylvania-3378,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20796._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20796._130x0.jpg', 'path': 'full/49e5fbfb1a434f68630ff8d9c11cb8731b17c510.jpg', 'checksum': '86b7fe4af5fb087399c3dfda25228a6a'}]","Philadelphia, PA"
California Institute of Technology,977,10,"$43,362 (2014-15)",/best-colleges/cal-tech-1131,http://colleges.usnews.rankingsandreviews.com/img/college-photo_91._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_91._130x0.jpg', 'path': 'full/e3afe45c473da7cdb4e10b113500e021794fb2a0.jpg', 'checksum': '12aa64bb2f4f068493b29256d5c92907'}]","Pasadena, CA"
Dartmouth College,4276,11,"$48,108 (2014-15)",/best-colleges/dartmouth-college-2573,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8735._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8735._130x0.jpg', 'path': 'full/a25abeb951ff549e40a2bb39229c129cb4517d27.jpg', 'checksum': 'ea10adb86d0cd4d0697c7a1bbfb60512'}]","Hanover, NH"
Johns Hopkins University,6251,12,"$47,060 (2014-15)",/best-colleges/jhu-2077,http://colleges.usnews.rankingsandreviews.com/img/college-photo_110._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_110._130x0.JPG', 'path': 'full/22e4d468cb7d00328ec9a1c7cd325b285be22e8b.jpg', 'checksum': 'c1fd7ceab0e66081af72e32ee0dc88df'}]","Baltimore, MD"
Northwestern University,8688,13,"$47,251 (2014-15)",/best-colleges/northwestern-1739,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3277._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3277._130x0.jpg', 'path': 'full/33acaab6103cab037f83384a3b145d1d2f972f2c.jpg', 'checksum': '75589a481405c9e3978ec2eedcd58270'}]","Evanston, IL"
Washington University in St. Louis,7336,14,"$46,467 (2014-15)",/best-colleges/washington-university-st-louis-2520,http://colleges.usnews.rankingsandreviews.com/img/college-photo_826._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_826._130x0.jpg', 'path': 'full/85327d8a85c184f4acc5337833132cd04fb8704d.jpg', 'checksum': 'd7b20fcb9b4c88db9a336074627a2950'}]","St. Louis, MO"
Cornell University,14393,15,"$47,286 (2014-15)",/best-colleges/cornell-university-2711,http://colleges.usnews.rankingsandreviews.com/img/college-photo_73._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_73._130x0.jpg', 'path': 'full/569ce9ab67f998ae09cf0bc6b594e26f44e64605.jpg', 'checksum': '68e96c6e918498c818ac36d3bb057341'}]","Ithaca, NY"
Brown University,6455,16,"$47,434 (2014-15)",/best-colleges/brown-university-3401,http://colleges.usnews.rankingsandreviews.com/img/college-photo_17530._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_17530._130x0.jpg', 'path': 'full/39a757a3511a853e0fd0d240e820caceb730e59a.jpg', 'checksum': '82ea0956f17bc2e2b0a02569e8efee09'}]","Providence, RI"
University of Notre Dame,8477,16,"$46,237 (2014-15)",/best-colleges/notre-dame-1840,http://colleges.usnews.rankingsandreviews.com/img/college-photo_154._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_154._130x0.JPG', 'path': 'full/d16f866e80b742269579aae74f9ec0644f4deb54.jpg', 'checksum': '22fbc39b0fc5f70cdcce698662f369b7'}]","Notre Dame, IN"
Vanderbilt University,6835,16,"$43,838 (2014-15)",/best-colleges/vanderbilt-3535,http://colleges.usnews.rankingsandreviews.com/img/college-photo_313._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_313._130x0.jpg', 'path': 'full/8d564877bb75e43996b8d12330eefaf5895d21bb.jpg', 'checksum': 'e25aa47e0f510d3ec900790259b77ed1'}]","Nashville, TN"
Rice University,3965,19,"$40,566 (2014-15)",/best-colleges/rice-3604,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5182._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5182._130x0.jpg', 'path': 'full/ef25d7d8a766e24661da149cff4641998833efc1.jpg', 'checksum': '11b73183b7d064cfe33a91b3b13707f0'}]","Houston, TX"
University of California--Berkeley,25951,20,"In-state: $13,844 (2014-15) Out-state: $25,064 (2014-15)",/best-colleges/uc-berkeley-1312,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1993._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1993._130x0.jpg', 'path': 'full/bb077aef36efae8bf678005de658b3e2143d64aa.jpg', 'checksum': '2489ac4587248791a7910ac92f0e4bf1'}]","Berkeley, CA"
Emory University,7836,21,"$45,008 (2014-15)",/best-colleges/emory-university-1564,http://colleges.usnews.rankingsandreviews.com/img/college-photo_10800._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_10800._130x0.jpg', 'path': 'full/9db530cd50a70bcada076beda8c36fe7405823f9.jpg', 'checksum': '42ed672f7ae6de9be46a736e2a77b159'}]","Atlanta, GA"
Georgetown University,7636,21,"$46,744 (2014-15)",/best-colleges/georgetown-university-1445,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7439._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7439._130x0.jpg', 'path': 'full/9492114c29bb948e37fd824b7a57b072d982fb4b.jpg', 'checksum': '62e4f96366ebfa539c5e0c1928d5e1d6'}]","Washington, DC"
University of California--Los Angeles,28674,23,"In-state: $12,702 (2014-15) Out-state: $35,580 (2014-15)",/best-colleges/ucla-1315,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5568._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5568._130x0.jpg', 'path': 'full/308feb1f48c6e6fcd901291bcec728597e75da2f.jpg', 'checksum': '1a8ef2866f663d135671e181e173216b'}]","Los Angeles, CA"
University of Virginia,16087,23,"In-state: $12,998 (2014-15) Out-state: $42,184 (2014-15)",/best-colleges/uva-6968,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2352._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2352._130x0.jpg', 'path': 'full/dd143f32925be6c2d0610e63a824cfba536db85b.jpg', 'checksum': 'd7bef8c5d30c83fdadd4350795344163'}]","Charlottesville, VA"
Carnegie Mellon University,6306,25,"$48,786 (2014-15)",/best-colleges/carnegie-mellon-university-3242,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7640._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7640._130x0.jpg', 'path': 'full/c1d3bb41527ff4153e59a1ade55762d65e768957.jpg', 'checksum': '34ffe92a6a3180301ee0929e11b1b490'}]","Pittsburgh, PA"
University of Southern California,18445,25,"$48,280 (2014-15)",/best-colleges/usc-1328,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11618._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11618._130x0.jpg', 'path': 'full/3cc5e8c68faf769d27454eeab97f421abc906f6d.jpg', 'checksum': '8c7859ea3fdfc476b8e3f878379115d9'}]","Los Angeles, CA"
Tufts University,5180,27,"$48,643 (2014-15)",/best-colleges/tufts-university-2219,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8428._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8428._130x0.jpg', 'path': 'full/d2a6e0a3058f933b3be1072d28c2b812e7fee208.jpg', 'checksum': '0c7d4494941e84749485b41cb2d25746'}]","Medford, MA"
Wake Forest University,4823,27,"$46,200 (2014-15)",/best-colleges/wake-forest-2978,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11989._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11989._130x0.jpg', 'path': 'full/e1654a64535f61efd1de8fb7d66c02544571db67.jpg', 'checksum': '49ffbe6a0ffae6324c250f02ed059ee5'}]","Winston-Salem, NC"
University of Michigan--Ann Arbor,28283,29,"In-state: $13,977 (2014-15) Out-state: $41,811 (2014-15)",/best-colleges/university-of-michigan-9092,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6993._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6993._130x0.jpg', 'path': 'full/63e7fe1727d3a1510b3e39a4d5cb9b11580d8f47.jpg', 'checksum': '7bee69412d0cdae2ac1b40f7960e3927'}]","Ann Arbor, MI"
University of North Carolina--Chapel Hill,18370,30,"In-state: $8,374 (2014-15) Out-state: $33,624 (2014-15)",/best-colleges/unc-2974,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2832._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2832._130x0.jpg', 'path': 'full/b9083e1ee6a5c9d49e714ae1c270b6817ada6f17.jpg', 'checksum': '3707b85a465b35ac98f43847f9b0ae45'}]","Chapel Hill, NC"
Boston College,9049,31,"$47,436 (2014-15)",/best-colleges/boston-college-2128,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16949._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16949._130x0.jpg', 'path': 'full/7e0c0fbdd73a675da0110c48aaf155fe436f4756.jpg', 'checksum': 'd912e9fab0c2a21575f75eca2838e924'}]","Chestnut Hill, MA"
New York University,22615,32,"$46,170 (2014-15)",/best-colleges/nyu-2785,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6422._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6422._130x0.jpg', 'path': 'full/d9cdfcab37c8acbe2c216447a2c7787e9bf8712e.jpg', 'checksum': '815621d3358b41eadb1e91b282f1804e'}]","New York, NY"
College of William and Mary,6271,33,"In-state: $17,656 (2014-15) Out-state: $39,360 (2014-15)",/best-colleges/william-and-mary-3705,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15587._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15587._130x0.JPG', 'path': 'full/0ca92d832ef3eb12f4cc35b33a18cdaa795f6e65.jpg', 'checksum': '7de8aa90ef55dd2369c70ab5235bc1bc'}]","Williamsburg, VA"
University of Rochester,6177,33,"$46,960 (2014-15)",/best-colleges/university-of-rochester-2894,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2965._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2965._130x0.jpg', 'path': 'full/087865a0647e6dc137fd582ae8bc0e0b1f10f8db.jpg', 'checksum': 'a7b5b33b40058c195550272104766966'}]","Rochester, NY"
Brandeis University,3614,35,"$47,833 (2014-15)",/best-colleges/brandeis-university-2133,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20366._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20366._130x0.jpg', 'path': 'full/a06a9e881bb6b522a93e5931f1dc3116bb8ae2a4.jpg', 'checksum': 'c03adf9838e8222eb69df4f125dfd93b'}]","Waltham, MA"
Georgia Institute of Technology,14558,35,"In-state: $11,394 (2014-15) Out-state: $30,698 (2014-15)",/best-colleges/georgia-tech-1569,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5743._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5743._130x0.jpg', 'path': 'full/99fb7d563f3cbde963daefa87c8938ca9a589e0c.jpg', 'checksum': '3e6e068a2f55a9d1cb535675beb010aa'}]","Atlanta, GA"
University of California--San Diego,23805,37,"In-state: $13,302 (2013-14) Out-state: $36,180 (2013-14)",/best-colleges/ucsd-1317,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23587._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23587._130x0.jpg', 'path': 'full/40650238eada8edd685327d5afe558da783a61e3.jpg', 'checksum': 'c89e78df9f47806db3b02b5e3d41b045'}]","La Jolla, CA"
Case Western Reserve University,4661,38,"$43,158 (2014-15)",/best-colleges/case-western-reserve-university-3024,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8808._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8808._130x0.jpg', 'path': 'full/9b62be81babe994bcb1aeb74dc886cab96f0bf7d.jpg', 'checksum': '645a6c56bcdba6c06c6c82e949a84578'}]","Cleveland, OH"
University of California--Davis,26663,38,"In-state: $13,896 (2014-15) Out-state: $36,774 (2014-15)",/best-colleges/uc-davis-1313,http://colleges.usnews.rankingsandreviews.com/img/college-photo_9832._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_9832._130x0.jpg', 'path': 'full/5c26100b05706d3f90ceaab2ef417e430bbe9db5.jpg', 'checksum': '6ba476ba7bfd30000ff0867b8a538dbb'}]","Davis, CA"
