link,title
http://www.britishcouncil.in/exam/ielts/scholarships,British Council IELTS Scholarship Award for Indian Students
http://www.pref.aichi.jp/kokusai/ryugakusei-portal/e/ukeire/,Aichi Scholarship Program for Asian Students in Japan
http://international.adelaide.edu.au/choosing/scholarships/,University of Adelaide Ashok Khurana Scholarship for Indian Students
http://www.mba.hec.edu/Fees-Funding/Scholarships/Alcatel-Lucent-Scholarship,Alcatel-Lucent: HEC Paris Scholarship for Global Leadership Potential
http://mba.insead.edu/schlmgmt/dsp_schl_info.cfm?schlcode=ASIA%202,INSEAD Louis Vuitton MBA Scholarship for Indian and Chinese Students
http://www.bbk.ac.uk/prospective/international/fees-money-and-scholarships/scholarships-and-loans/international-office-merit-scholarships,Birkbeck University International Office Merit Scholarships
http://www.scotland.org/study-in-scotland/scholarships/saltire-scholarships/,Saltire Scholarships
http://www4.dcu.ie/international/fees.shtml,DCU International Student Scholarships for Indian Students in Ireland
http://www.awib.org/index.cfm?fuseaction=page.viewPage&pageID=811&nodeID=1,Asian Women in Business Scholarship Fund
http://inlaksfoundation.org/inlaks-scholarship.aspx#Inlaks%20Scholarship,Inlaks Shivdasani Foundation scholarships
http://www.hinrichfoundation.com/portfolio/master-in-international-journalism-studies-hongkong-baptist-university/#.U_xdIcVdUvN,Hinrich Full MA Scholarship in International Journalism at HKBU
http://www.ait.ac.th/admissions/Current_Scholarships/royal-thai-government/#.Uwwv9KLhXIU,HM King’s and HM Queen’s Scholarships for Asian Students in Thailand
http://useoul.edu/notice?bm=v&bbsidx=119937,Silk-Road Scholarship Program at Seoul National University
http://iczu.zju.edu.cn/english/type1/01032505.html,Zhejiang University Asian Future Leaders Scholarship Program
http://scholarships.uq.edu.au/scholarship/india-australia-bel-excellence-scholarship,University of Queensland India-Australia BEL Excellence Scholarship
http://www.scmb.uq.edu.au/scholarships,University of Queensland Postgraduate Coursework Scholarships
http://enz.govt.nz/our-services/scholarships/new-zealand-india-sports-scholarships,India New Zealand Sports Cooperation Scholarships (INZSS)
http://www.inde.campusfrance.org/en/news/gdf-suez-meea-co-financed-scholarship,GDF Suez/MEEA Scholarships
http://www.maastrichtuniversity.nl/web/ServiceCentres/SSC/AdministrationAndPracticalServices/SSC/Scholarships/AvailableScholarships1/UrsulaGlunkScholarship.htm,Dr. Ursula Glunk Scholarship for Master Students at Maastricht University
http://www.britishcouncil.in/sites/britishcouncil.in2/files/great_scholarships_india_guide.pdf,British Council GREAT scholarships for Indian Students
http://courses.cardiff.ac.uk/funding/P2198.html,Cardiff Business School India Scholarships
